Sentence	Label
ho fatto una misurazione sulla frequenza: 80 bpm	inserDatiFreq
Mi sento stanco tutto il tempo.	Generale
ecco i miei valori 120 80 75	inserDatiTot
Ho un’allergia ai frutti di mare	inserDatiGener
Vorrei vedere tutte le informazioni che ho condiviso in passato.	Richiesta
La mia pressione sanguigna è X/Y e la mia frequenza cardiaca è 68.	inserDatiTot
Vorrei sapere se l'andamento della mia pressione è stabile nel tempo	Richiesta
che agitazione! non capisco perchè la misurazioni sulla frequenza mostrano risultati anomali	Umore
Qual è la media delle mie misurazioni degli ultimi tre anni?	Richiesta
Qual è la mia ultima misurazione della pressione?	Richiesta
I miei battiti al minuto sono 205	inserDatiFreq
Posso avere un elenco di tutte le informazioni che ho fornito recentemente?	Richiesta
Addio, assistente! Grazie per avermi fornito informazioni preziose sulla mia ipertensione.	Generale
Posso registrare i dati della mia frequenza cardiaca di stasera?	Generale
ho paura che la mia pressione alta possa causare un ictus.	Umore
Ho appena controllato il battito, è 95 bpm	inserDatiFreq
ho appena fatto un controllo, la mia pressione è 135/85 e il mio polso è 70.	inserDatiTot
Ho iniziato una nuova dieta per ridurre il sale.	inserDatiGener
Frequenza cardiaca: 72 bpm	inserDatiFreq
ho appena fatto un controllo, la mia pressione è 135/85.	inserDatiPress
Si è rotto il ginocchio	Generale
Quali sono i rischi per la salute associati all’ipertensione?	Generale
arrivederci, assistente! sono grato per il tuo aiuto nel mio viaggio con l’ipertensione.	Generale
La mia pressione è 135/85	inserDatiPress
Vorrei vedere le misurazioni più recenti che ho registrato.	Richiesta
Ho appena finito di fare una lunga passeggiata, è stata rilassante.	Generale
Vorrei vedere un riepilogo di tutte le informazioni che ho inserito recentemente.	Richiesta
110 frequenza	inserDatiFreq
Media frequenza questo mese	Richiesta
Battito cardiaco: 245 bpm	inserDatiFreq
posso registrare i dati della mia frequenza cardiaca dell’anno scorso?	Generale
Sono un corridore maratoneta	inserDatiGener
Ho appena misurato la mia pressione, è 130/85 e il mio battito cardiaco è 75.	inserDatiTot
La mia frequenza cardiaca oggi è ...bpm.	inserDatiFreq
Media frequenza ultimi 365 giorni	Richiesta
Posso registrare i dati della mia frequenza cardiaca di questa settimana?	Generale
Desidero visualizzare i miei dati sulla frequenza cardiaca degli ultimi sette giorni.	Richiesta
Sai che oggi ho visto un film molto bello?	Generale
Mi dici quelle quali sono state le informazioni che ti ho fornito su di me?	Richiesta
Potrei vedere le ultime misurazioni della pressione che ho registrato nell’ultimo mese?	Richiesta
la mia frequenza cardiaca è 68 battiti al minuto.	inserDatiFreq
sono molto nervoso per la mia pressione alta.	Umore
Dammi le mie misurazioni sulla pressione dell’ultima settimana?	Richiesta
Quali sono i miei dati più recenti sulla pressione sanguigna?	Richiesta
Pressione sanguigna attuale: 135/85, frequenza del polso: 285	inserDatiTot
Ho smesso di fumare da un anno per migliorare la mia salute cardiovascolare.	inserDatiGener
Frequenza cardiaca: 295 bpm	inserDatiFreq
Qual è la mia media di frequenza cardiaca degli ultimi 30 giorni?	Richiesta
Potrei vedere le misurazioni che ho registrato nell’ultimo mese?	Richiesta
Ho appena controllato e la mia pressione sanguigna è di 130/75 mmHg.	inserDatiPress
Il mio battito cardiaco è 75 bpm	inserDatiFreq
Qual è l'ultimo dato sulla pressione sanguigna?	Richiesta
la mia pressione sanguigna è 130/85 e il mio battito cardiaco è 70.	inserDatiTot
Soffro di stress cronico	inserDatiGener
La mia pressione sanguigna è 140/90.	inserDatiPress
Potresti mostrarmi le mie ultime misurazioni della pressione?	Richiesta
Non riesco a respirare	Umore
I valori della mia pressione sono 135/80, frequenza cardiaca: 130	inserDatiTot
Ho appena misurato la mia frequenza cardiaca e il valore è 72 bpm.	inserDatiFreq
come l’alcol può influenzare l’ipertensione?	Generale
come il fumo può influenzare l’ipertensione?	Generale
Hola	Generale
buonasera, assistente! spero che tu possa aiutarmi a capire meglio la mia ipertensione.	Generale
Sono sottopeso	inserDatiGener
Vorrei rivedere le letture che ho inserito nelle 4 settimane precedenti.	Richiesta
ho avuto un episodio di tachicardia la scorsa notte.	inserDatiGener
Vorrei vedere tutte le informazioni che ho condiviso finora.	Richiesta
Qual è la mia media di pressione sanguigna e frequenza cardiaca degli ultimi nove mesi?	Richiesta
ho appena controllato, la mia frequenza cardiaca è 75 battiti al minuto.	inserDatiFreq
Il mio battito cardiaco è 195 bpm	inserDatiFreq
sono tornata	Generale
ho iniziato una nuova dieta ricca di frutta e verdura.	inserDatiGener
Pressione sistolica 135, diastolica 80	inserDatiPress
potresti indicarmi tutti i dati registrati sulla pressione e sulla frequenza?	Richiesta
Potrei controllare le misurazioni che ho registrato nelle ultime 4 settimane?	Richiesta
ho paura che la mia pressione alta possa causare problemi di appetito.	Umore
Faccio esercizio fisico regolarmente	inserDatiGener
Qual è la media delle mie misurazioni degli ultimi sei mesi?	Richiesta
Mi piacerebbe sapere cosa fare per tenere la pressione sotto controllo	Generale
Ho tutti i dolori del mondo	Generale
Qual è la mia media di pressione sanguigna degli ultimi due anni?	Richiesta
quali cambiamenti nello stile di vita posso fare per gestire il mio colesterolo alto?	Generale
qual è il tuo sport preferito?	Generale
Qual è la mia media di frequenza cardiaca delle ultime quattro settimane?	Richiesta
La pressione sistolica è 140 e la diastolica è 90	inserDatiPress
ho iniziato a fare yoga per aiutare a gestire lo stress.	inserDatiGener
Posso vedere un riepilogo dei miei dati personali inseriti?	Richiesta
Qual è la mia media di pressione sanguigna delle ultime tre settimane?	Richiesta
come la menopausa può influenzare il mio peso?	Generale
Mi dai la media sulla pressione	Richiesta
Ho smesso di bere caffè da una settimana.	inserDatiGener
mi sento molto preoccupato per la mia pressione alta.	Umore
Qual è il tuo periodo storico preferito?	Generale
Quali sono le mie misurazioni della pressione dell’ultimo mese?	Richiesta
Qual è la mia media di pressione sanguigna e frequenza cardiaca di questa settimana?	Richiesta
Ue, assistente! Sono pronto per un altro giorno di monitoraggio della mia pressione sanguigna.	Generale
voglia sia i dati sulla frequenza che sulla pressione	Richiesta
Sono riuscito a fare una lunga passeggiata oggi senza affaticarmi.	Umore
Una volta a settimana mangio la pizza	Generale
Ho iniziato a fare passeggiate regolari per aiutare a gestire la mia ipertensione.	inserDatiGener
Sono un po’ nervoso, la mia pressione sanguigna è più bassa del solito.	Umore
Media pressione anno scorso	Richiesta
buongiorno, assistente! spero che tu sia pronto ad aiutarmi a gestire la mia ipertensione oggi.	Generale
Hai mai visitato il Grand Canyon?	Generale
Mi mangio le pellicine	Generale
posso aggiungere i dati della mia pressione sanguigna di questa settimana?	Generale
come il clima può influenzare la mia artrite?	Generale
Potresti mostrarmi tutti i miei dati?	Richiesta
come l’ambiente può influenzare l’ipertensione?	Generale
Quali sono le opzioni di trattamento farmacologico per l’ipertensione?	Generale
buongiorno, assistente! spero che tu sia carico di energia per aiutarmi con la mia ipertensione oggi.	Generale
ho smesso di bere bevande energetiche da un mese.	inserDatiGener
Vorrei vedere tutte le informazioni che ho dato recentemente.	Richiesta
Quando sono a rischio ipertensione?	Generale
Ho l’artrite	inserDatiGener
Ho appena finito di fare una corsa, sono pieno di energie.	Generale
buonasera, assistente! sono pronto per rilassarmi e riflettere sulla mia giornata con l’ipertensione.	Generale
Mi sento molto male, cosa dovrei fare?	Umore
I valori della mia pressione sono 120/70, battito cardiaco: 210	inserDatiTot
La mia pressione è 130/80	inserDatiPress
Ho appena controllato, la mia pressione è 140/85.	inserDatiPress
Ho notato che la mia pressione sanguigna è di 135/80 mmHg.	inserDatiPress
Come viene diagnosticato il cancro al seno?	Generale
La mia ultima lettura della pressione sanguigna e della frequenza cardiaca era di 130/85 mmHg e 68 bpm.	inserDatiTot
Media frequenza ultimi due anni	Richiesta
Voglio la media dei dati registrati sulla pressione	Richiesta
posso aggiungere i dati della mia pressione sanguigna di quest’anno?	Generale
Vorrei rivedere tutti i dati sulla pressione che ho inserito.	Richiesta
Valori pressione: 110/70	inserDatiPress
ho paura che la mia ipertensione possa causare danni ai miei reni.	Umore
Pressione 130 90 frequenza 96	inserDatiTot
La mia pressione sanguigna attuale è 110/75, ho un battito di 160	inserDatiTot
Ho iniziato a fare yoga per aiutare a gestire lo stress.	inserDatiGener
buon pomeriggio, assistente! spero che tu possa aiutarmi a monitorare la mia ipertensione.	Generale
ho avuto un episodio di vertigini questa mattina.	inserDatiGener
Ho paura che la mia pressione alta possa causare un ictus.	Umore
ho notato che la mia pressione sanguigna scende quando dormo bene.	inserDatiGener
come il sale può influenzare l’ipertensione?	Generale
Qual è la mia media di frequenza cardiaca degli ultimi due anni?	Richiesta
posso inserire le mie ultime misurazioni?	Generale
ho iniziato una nuova dieta per ridurre il sale.	inserDatiGener
mostrarmi le misurazioni della frequenza cardiaca degli ultimi sette giorni	Richiesta
La mia pressione sanguigna è 125/80.	inserDatiPress
come posso prevenire le malattie cardiache?	Generale
Vorrei rivedere i dati sulla pressione che ho inserito nell’ultimo mese.	Richiesta
Posso aggiungere i dati della mia pressione sanguigna di questa settimana?	Generale
Sistolica 130, diastolica 85, battito: 75	inserDatiTot
Il mio battito cardiaco è 220 bpm	inserDatiFreq
Sono un donatore di sangue regolare	inserDatiGener
La mia pressione oggi è 120/80.	inserDatiPress
Posso vedere un riassunto di tutte le informazioni che ho fornito recentemente?	Richiesta
Buongiorno, tutto bene?	Generale
sono preoccupato per i miei livelli di pressione sanguigna.	Umore
Sistolica 130, diastolica 85	inserDatiPress
Qual è la mia media di pressione sanguigna dell’anno scorso?	Richiesta
la mia pressione sanguigna attuale è 125/80.	inserDatiPress
Posso avere la media delle mie misurazioni delle ultime 24 ore?	Richiesta
La mia pressione è 130/80, ho un battito di 145	inserDatiTot
Mi piacerebbe controllare le ultime letture della frequenza cardiaca che ho registrato nell’ultimo mese.	Richiesta
Cammino per almeno 30 minuti al giorno	inserDatiGener
Dammi le statistiche dell'ultimo mese in un grafico	Richiesta
110 50	inserDatiPress
mi puoi dire a cosa serve tenere sotto controllo la pressione?	Generale
non ho ansia per la mia pressione alta.	Umore
La mia pressione sanguigna è di 125/75 mmHg, secondo l’ultima misurazione.	inserDatiPress
La mia pressione sanguigna oggi è X/Y e la mia frequenza cardiaca è Z bpm.	inserDatiTot
Vorrei rivedere tutti i dati sulla frequenza  che ho inserito.	Richiesta
Desidero visualizzare i miei dati sulla pressione dell’ultimo mese.	Richiesta
come l’ipertensione può influenzare la mia vita quotidiana?	Generale
come il colesterolo può influenzare le mie malattie cardiache?	Generale
Desidero conservare le mie recenti letture della pressione arteriosa nel mio registro sanitario.	Generale
Qual è la mia media di pressione sanguigna e frequenza cardiaca della scorsa settimana?	Richiesta
la mia pressione sanguigna è 140/90 e la mia frequenza cardiaca è 80 battiti al minuto.	inserDatiTot
Il mio polso è di 80 battiti al minuto	inserDatiFreq
La mia pressione sanguigna è 135/85.	inserDatiPress
Ho avuto problemi di digestione.	Generale
Dammi il valor medio di frequenza nell'ultima settimana	Richiesta
come posso gestire il mio diabete?	Generale
Vorrei vedere tutte le letture della frequenza cardiaca che ho registrato.	Richiesta
ho iniziato a meditare per aiutare a gestire lo stress.	inserDatiGener
Dati	Richiesta
La frequenza cardiaca misurata è Z bpm.	inserDatiFreq
Desidero consultare le registrazioni degli ultimi 7 giorni.	Richiesta
Ho appena controllato la pressione, è 140/85, battito cardiaco: 95	inserDatiTot
Mi piacerebbe esaminare i dati registrati negli ultimi 7 giorni	Richiesta
sono molto ansioso per i miei livelli di pressione sanguigna.	Umore
vorrei darti i miei valori di pressione	Generale
Desidero consultare la mia ultima lettura del battito cardiaco.	Richiesta
Mi piacerebbe controllare le ultime letture della pressione che ho registrato nell’ultimo mese.	Richiesta
Bevo caffè tutti i giorni	inserDatiGener
Qual è la mia media di pressione sanguigna di questa settimana?	Richiesta
Media frequenza ultime 24 ore	Richiesta
Vorrei dare un’occhiata alle ultime letture che ho inserito.	Richiesta
ecco la frequenza: 85	inserDatiFreq
Vorrei vedere un riepilogo di tutte le informazioni che ho inserito.	Richiesta
Pressione arteriosa misurata: 135/85, battito cardiaco: 165	inserDatiTot
Ho il colesterolo alto	inserDatiGener
Media pressione ultimi due anni	Richiesta
hai mai provato a fare surf?	Generale
quali sono i rischi per la salute associati all’obesità?	Generale
Potresti mostrarmi le mie letture dell’ultima settimana?	Richiesta
ho iniziato a fare passeggiate regolari per aiutare a gestire la mia ipertensione.	inserDatiGener
hai mai provato a fare immersioni?	Generale
Pressione arteriosa: 135/85, frequenza cardiaca: 105	inserDatiTot
Quando devo fare un collquio il mio cuore è infermabile.	Umore
Qual è la mia media di frequenza cardiaca degli ultimi dodici mesi?	Richiesta
Vorrei emmorizzare i miei dati: la pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
Posso avere un elenco di tutte le informazioni che ho fornito?	Richiesta
Dammi le misurazioni della settimana in un grafico	Richiesta
Potresti mostrarmi un sommario di tutte le mie misurazioni?	Richiesta
pressione di A su B.	inserDatiPress
Media pressione ultimi 365 giorni	Richiesta
posso registrare i dati della mia frequenza cardiaca di domani?	Generale
Pressione misurata: 140/85	inserDatiPress
Posso aggiungere i dati della mia pressione sanguigna di domani?	Generale
Hai mai visitato la Costa Amalfitana?	Generale
Potrei controllare l’ultima misurazione della frequenza cardiaca che ho registrato?	Richiesta
mi sento molto sereno riguardo alla mia pressione alta.	Umore
Qual è un buon stile di vita che abbassa il rischio di sviluppare ipertensione?	Generale
Ho smesso di bere alcol da due settimane.	inserDatiGener
voglio inserire i dati sulla frequenza	Generale
vorrei tanto medicare la ferita al braccio di mio figlio, potresti fornirmi dei consigli?	Generale
Mi sento in forma.	Umore
ciao, assistente! sono pronto per un altro giorno di gestione della mia ipertensione.	Generale
ho paura che la mia pressione alta possa causare problemi di umore.	Umore
Ho iniziato una nuova dieta ricca di fibre.	inserDatiGener
Frequenza cardiaca: 175 bpm	inserDatiFreq
Pressione sanguigna registrata: 140/90, ho un battito di 300	inserDatiTot
La mia pressione è 135/85, battito cardiaco: 225	inserDatiTot
Qual è la mia media di pressione sanguigna degli ultimi 7 giorni?	Richiesta
Forniscimi le misurazioni sulla frequenza cardiaca nell’ultimo mese	Richiesta
sono molto calmo riguardo alla mia ipertensione.	Umore
Posso vedere la media delle mie misurazioni degli ultimi due anni?	Richiesta
120 80 75	inserDatiTot
Ho avuto un po’ di vertigini oggi, potrebbe essere legato alla mia pressione sanguigna?	Umore
Vorrei vedere un elenco di tutte le informazioni che ho dato recentemente.	Richiesta
Pressione misurata: 130/70	inserDatiPress
Potresti aiutarmi a registrare le mie nuove letture della pressione sanguigna?	Generale
Sono molto tranquillo riguardo alla mia pressione alta.	Umore
80	inserDatiPress
Posso vedere la media delle mie misurazioni delle ultime quattro settimane?	Richiesta
Dammi la mia frequenza	Richiesta
posso registrare i dati della mia frequenza cardiaca di questa mattina?	Generale
Qual è la mia media di pressione sanguigna della scorsa settimana?	Richiesta
ho fatto una misurazione. Frequenza 80 e pressione 130/90	inserDatiTot
Voglio annotare le mie recenti letture della pressione sanguigna.	Generale
come viene diagnosticata l’ipertensione?	Generale
Vorrei dare un’occhiata a tutte le letture che ho inserito.	Richiesta
Battito cardiaco: 125 bpm	inserDatiFreq
arrivederci, assistente! grazie per avermi aiutato a gestire la mia ipertensione oggi.	Generale
Ho notato che la mia pressione sanguigna aumenta quando sono nervoso.	inserDatiGener
Mi piacerebbe controllare le ultime letture del battito cardiaco che ho registrato nell’ultima settimana.	Richiesta
Vorrei vedere le misurazioni che ho registrato nell’ultimo mese.	Richiesta
Sono molto ansioso per la mia ipertensione.	Umore
Potresti mostrarmi tutte le mie misurazioni della frequenza cardiaca in un grafico?	Richiesta
riportami le misurazioni su pressione e frequnza nell'ultima settimana	Richiesta
Qual è la mia media di frequenza cardiaca dell’anno scorso?	Richiesta
ciao, assistente! spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.	Generale
Il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
Potresti mostrarmi la mia ultima misurazione della frequenza cardiaca?	Richiesta
Media pressione ultimi dodici mesi	Richiesta
Voglio un riassunto di tutte le mie statistiche?	Richiesta
come il diabete può influenzare la mia vista?	Generale
vorrei la pressione media dell'ultima settimana	Richiesta
Ho un lavoro sedentario	inserDatiGener
Ho notato che la mia pressione sanguigna scende quando mi rilasso.	inserDatiGener
X su Y	inserDatiPress
Dopo un trauma quanto tempo dovrei riposare?	Generale
Qual è la media delle mie misurazioni della scorsa settimana?	Richiesta
Il mio battito cardiaco è 255 bpm	inserDatiFreq
Mi sento in forma, ho fatto esercizio fisico regolarmente questa settimana.	Umore
non sono preoccupato per la mia ipertensione.	Umore
come il sesso può influenzare il mio rischio di osteoporosi?	Generale
Vorrei vedere l’ultima lettura della frequenza che ho registrato.	Richiesta
Hai visto l’ultimo film di Christopher Nolan?	Generale
grazie delle informazioni	Generale
Ho appena misurato la mia pressione, è 130/85.	inserDatiPress
Mi puoi dare la ricetta di quel piatto brevemente	Generale
La pressione è 140/85	inserDatiPress
Posso avere un riepilogo di tutte le informazioni che ho dato recentemente?	Richiesta
Sono preoccupato per i miei livelli di pressione sanguigna.	Umore
Potrei vedere le ultime misurazioni della pressione che ho registrato nell’ultima settimana?	Richiesta
Vorrei rivedere i dati sulla pressione che ho inserito negli ultimi sette giorni.	Richiesta
Pressione sistolica 120, diastolica 70	inserDatiPress
Oggi è freddo e la temperatura è di 10 gradi	Generale
mostrami le statistiche sulla frequenza	Richiesta
alla prossima, assistente! non vedo l’ora di continuare a lavorare con te sulla mia ipertensione.	Generale
Mi sono rotta una caviglia	Generale
La mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
Quali cambiamenti nello stile di vita posso fare per gestire il mio colesterolo alto?	Generale
Ho appena fatto la misurazione, la pressione è 140/85	inserDatiPress
sono molto ansioso per la mia ipertensione.	Umore
ciao, assistente! sono pronto per un altro giorno di monitoraggio della mia ipertensione.	Generale
Mi piacerebbe controllare tutte le misurazioni che ho registrato.	Richiesta
Frequenza cardiaca: 150 bpm	inserDatiFreq
Forniscimi i dati della pressione sanguigna?	Richiesta
ti do la mia pressione di oggi	Generale
ciao, assistente! sono pronto per affrontare la mia ipertensione con il tuo aiuto.	Generale
Ho iniziato una nuova dieta povera di grassi saturi.	inserDatiGener
qual è la mia pressione media dell'ultimo mese?	Richiesta
Sono esposto al fumo di seconda mano sul lavoro	inserDatiGener
Ho iniziato una nuova dieta povera di zuccheri.	inserDatiGener
Misurazioni della pressione dell’ultimo mese?	Richiesta
ho iniziato a fare stretching regolare per aiutare a gestire lo stress.	inserDatiGener
Pressione arteriosa: 135/85	inserDatiPress
Sono pieno di energie	Umore
sono molto pacifico riguardo alla mia pressione alta.	Umore
Mi sento molto tranquillo riguardo alla mia pressione alta.	Umore
quali sono le opzioni di trattamento farmacologico per l’ansia?	Generale
Alla prossima, assistente! Non vedo l’ora di continuare a lavorare con te sulla mia ipertensione.	Generale
La mia pressione sanguigna attuale è 125/80.	inserDatiPress
Non ricordo le statistiche degli ultimi sette giorni	Richiesta
La mia pressione sanguigna e frequenza cardiaca attuali sono di 140/85 mmHg e 74 bpm.	inserDatiTot
Pressione sistolica 120, diastolica 70, frequenza del polso: 90	inserDatiTot
Ho un dolore al petto forte	Umore
La mia ultima misurazione mostra una pressione sanguigna e frequenza cardiaca di 135/85 mmHg e 70 bpm.	inserDatiTot
Qual è la mia media di pressione sanguigna e frequenza cardiaca delle ultime tre settimane?	Richiesta
buonanotte, assistente! sono pronto per riposare e ricaricarmi per un altro giorno di gestione della mia ipertensione.	Generale
Posso inserire i dati della mia pressione sanguigna di stasera?	Generale
sono molto stressato a causa della mia ipertensione.	Umore
Quali sono le cause principali dell’ipertensione?	Generale
Potresti mostrarmi le mie statistiche dell’ultima settimana?	Richiesta
ho misurato la frequenza: 90	inserDatiFreq
Mangio le torte tutti i giorni	inserDatiGener
Media pressione	Richiesta
posso registrare i dati della mia frequenza cardiaca di stasera?	Generale
quale è il tuo parco nazionale preferito?	Generale
La pressione oggi è 145/95, frequenza cardiaca: 75	inserDatiTot
Qual è il tuo poeta preferito?	Generale
Qual è il dato più recente	Richiesta
Posso aggiungere i dati della mia pressione sanguigna di quest’anno?	Generale
Ho appena controllato e la mia pressione sanguigna e frequenza cardiaca sono di 130/75 mmHg e 69 bpm.	inserDatiTot
Qual è la mia ultima misurazione della pressione arteriosa che ti ho fornito?	Richiesta
Pressione sistolica 135, diastolica 80, battito cardiaco: 70	inserDatiTot
Posso avere un elenco di tutte le informazioni che ho inserito recentemente?	Richiesta
Dammi le info personali registrate	Richiesta
Vorrei vedere un elenco di tutte le informazioni che ho fornito.	Richiesta
Desidero aggiornare il mio registro con le nuove misurazioni della pressione sanguigna.	Generale
Mostrami con un immagine i valori sulla mia pressione?	Richiesta
Hai mai provato a dipingere?	Generale
ciao, assistente! sono pronto per un altro giorno di sfide con la mia ipertensione.	Generale
ho notato che la mia pressione sanguigna scende quando mi rilasso.	inserDatiGener
Sono di peso normale	inserDatiGener
La pressione è 140/85, frequenza cardiaca: 215	inserDatiTot
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultima settimana?	Richiesta
Non riesco ad andare in bagno	Generale
Riporta le misurazioni della pressione arteriosa dell’ultima settimana graficamente	Richiesta
Vorrei inserire le misurazioni fatte	Generale
Voglio vedere i dati relativi alla frequenza	Richiesta
Ho avuto un episodio di vertigini questa mattina.	inserDatiGener
Mi piacerebbe controllare l’ultima lettura del battito cardiaco che ho registrato.	Richiesta
Sono molto rilassato riguardo alla mia ipertensione.	Umore
Desidero consultare i dati delle ultime 4 settimane	Richiesta
La mia pressione quando torno a casa dalla famiglia si alza sempre	Umore
la mia frequenza cardiaca oggi è 72 battiti al minuto.	inserDatiFreq
Ciao, assistente! Spero che tu possa darmi qualche suggerimento su come gestire la mia ipertensione.	Generale
Dammi le medie	Richiesta
Ho appena misurato la mia pressione sanguigna e i valori sono 120/80 mmHg.	inserDatiPress
Potresti mostrarmi tutte le mie misurazioni della pressione?	Richiesta
Mi piacerebbe esaminare tutti i dati sulla pressione che ho registrato.	Richiesta
Desidero visualizzare le mie letture dell’ultima settimana.	Richiesta
Desidero consultare le mie letture della pressione dell’ultima settimana.	Richiesta
90 60	inserDatiPress
Sono contento di dirti che la mia pressione sanguigna è rimasta entro i limiti normali per tutto il mese.	Umore
Posso vedere un riassunto dei miei dati generici finora?	Richiesta
Pressione arteriosa misurata: 135/85	inserDatiPress
La mia pressione sanguigna è 140/90 e la mia frequenza cardiaca è 80.	inserDatiTot
Ho avuto un bypass gastrico	inserDatiGener
Pressione: 120/80 mmHg, frequenza del polso: 230	inserDatiTot
Ho avuto una settimana molto tranquilla e la mia pressione sanguigna è rimasta stabile.	Umore
Vorrei vedere le misurazioni che ho registrato nell’ultima settimana.	Richiesta
la mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
posso inserire la mia pressione sanguigna di oggi?	Generale
registrami questa frequenza. Il valore è di 85	inserDatiFreq
Mostra tutte le mie misurazioni tramite un grafico?	Richiesta
ciao, assistente! sono pronto per un altro giorno di apprendimento sulla mia ipertensione.	Generale
Dammi i miei dati personali	Richiesta
Ho una pressione di 135/80, ho un battito di 190	inserDatiTot
Desidero consultare le mie letture della frequenza cardiaca delle ultime quattro settimane.	Richiesta
Il mio battito cardiaco è 160 bpm	inserDatiFreq
Ho avuto un raffreddore che non sembra migliorare.	Generale
Sono un ciclista competitivo	inserDatiGener
Quali cambiamenti nello stile di vita posso fare per gestire l’ipertensione?	Generale
il mio battito cardiaco è 75 battiti al minuto.	inserDatiFreq
Buonanotte, assistente! Grazie per avermi aiutato a capire meglio la mia ipertensione.	Generale
Posso avere la media delle mie misurazioni di oggi?	Richiesta
oggi ho mangiato un buon piatto di pasta	Generale
Ho avuto un po’ di nausea e ho notato che la mia pressione sanguigna è bassa, cosa dovrei fare?	Umore
Il mio battito cardiaco è 135 bpm	inserDatiFreq
come il peso può influenzare l’ipertensione?	Generale
Mi piacerebbe esaminare le letture che ho registrato nell’ultimo mese.	Richiesta
I valori della mia pressione sono 120/70	inserDatiPress
Potrei controllare le ultime misurazioni della frequenza cardiaca che ho registrato negli ultimi sette giorni?	Richiesta
Qual è la mia media di frequenza cardiaca di questo mese?	Richiesta
quel è la mia frequenza media dell'ultimo mese?	Richiesta
Mostrami tutte le mie misurazioni della pressione arteriosa?	Richiesta
ho notato che il mio livello di stress è aumentato ultimamente.	inserDatiGener
Desidero visualizzare i miei dati più recenti sulla pressione.	Richiesta
Vorrei registrare i miei ultimi dati sulla pressione sanguigna.	Generale
Non sono preoccupato per la mia pressione alta.	Umore
Quali sono le mie statistiche dell’ultimo mese?	Richiesta
Pressione arteriosa misurata: 110/70, frequenza cardiaca: 245	inserDatiTot
la mia pressione sanguigna è 120/80 e il mio battito cardiaco è 70.	inserDatiTot
Qual è la tua città preferita in Italia?	Generale
Ho appena controllato, la mia pressione è 140/85 e la mia frequenza cardiaca è 75.	inserDatiTot
Media totale	Richiesta
130/100	inserDatiPress
Qual è la mia media di pressione sanguigna e frequenza cardiaca dell’anno scorso?	Richiesta
Quali sono i dati delle ultime quattro settimane?	Richiesta
Informazioni personali	Richiesta
mi dici a cosa serve misurare la frequenza?	Generale
Pressione sanguigna attuale: 130/80	inserDatiPress
Ho appena controllato, la mia frequenza cardiaca è 75 battiti al minuto.	inserDatiFreq
La mia pressione sanguigna attuale è 140/90	inserDatiPress
I valori della mia pressione sono 135/80	inserDatiPress
la mia pressione sanguigna è 125/80.	inserDatiPress
posso inserire i dati della mia pressione sanguigna del prossimo mese?	Generale
Dammi la lista	Richiesta
La mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Sto cercando di evitare cibi ad alto contenuto di grassi saturi per mantenere bassi i livelli di colesterolo.	inserDatiGener
come la contraccezione ormonale può influenzare il mio ciclo mestruale?	Generale
Il mio battito cardiaco è 280 bpm	inserDatiFreq
La mia pressione sanguigna attuale è 140/90, battito cardiaco: 240	inserDatiTot
Pressione: 145/95 mmHg, battito cardiaco: 255	inserDatiTot
voglio sia i dati sulla pressione che sulla frequenza	Richiesta
Misurando ho ottenuto una pressione sanguigna di X/Y e la frequenza cardiaca di 72.	inserDatiTot
Pressione: 130/70 mmHg, ho un battito di 175	inserDatiTot
La mia pressione sanguigna più recente è di 120/70 mmHg.	inserDatiPress
dimmi le regole per misurare correttamente la pressione	Generale
Posso avere un elenco di tutte le informazioni che ho fornito finora?	Richiesta
Qual è la mia media di pressione sanguigna degli ultimi nove mesi?	Richiesta
Posso vedere tutte le informazioni che ho inserito?	Richiesta
posso inserire i dati della mia pressione sanguigna di ieri?	Generale
non ho ansia per la mia ipertensione.	Umore
Dammi pressione	Richiesta
Quali sono i trattamenti disponibili per l’artrite?	Generale
Sei stato molto preciso	Generale
sono molto tranquillo riguardo alla mia ipertensione.	Umore
Potrei vedere le ultime misurazioni che ho registrato?	Richiesta
Media frequenza mese scorso	Richiesta
la mia alimentazione non è mai stata curata.	inserDatiGener
ho notato che la mia pressione sanguigna aumenta quando faccio esercizio fisico.	inserDatiGener
Mi sento un po' strano, quali sono i miei dati più recenti?	Richiesta
Pressione 120/80	inserDatiPress
Il mio battito cardiaco è 100 bpm	inserDatiFreq
La pressione sistolica è 140 e la diastolica è 90, battito cardiaco: 180	inserDatiTot
Dammi i valori medi dell'ultimo mese	Richiesta
Quali sono i sintomi dell’ipertensione?	Generale
Posso registrare i dati della mia frequenza cardiaca di questo mese?	Generale
Ho avuto un episodio di tachicardia la scorsa notte.	inserDatiGener
Desidero visualizzare il mio dato più recente sulla frequenza cardiaca.	Richiesta
Desidero visualizzare i miei dati più recenti.	Richiesta
Il mio battito cardiaco è 72 battiti al minuto.	inserDatiFreq
